id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
2674,2114,Masari,MSR,masari,1,2018-04-25T22:44:27.000Z,2023-06-07T04:29:00.000Z,
2675,699,Dock,DOCK,dock,1,2018-04-25T22:44:27.000Z,2023-06-07T04:29:00.000Z,
2677,963,Linker Coin,LNC,linker-coin,1,2018-04-25T22:44:27.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6BEB418Fc6E1958204aC8baddCf109B8E9694966'}"
2682,113,Holo,HOT,holo,1,2018-04-30T22:14:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6c6ee5e31d828de241282b9606c8e98ea48526e2'}"
2685,2186,Zebi Token,ZEBI,zebi-token,1,2018-04-30T21:49:25.000Z,2023-06-07T04:29:00.000Z,
2689,2307,Rublix,RBLX,rublix,1,2018-05-01T11:54:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xFc2C4D8f95002C14eD0a7aA65102Cac9e5953b5E'}"
2694,92,Nexo,NEXO,nexo,1,2018-05-01T23:14:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206'}"
2696,1314,DAEX,DAX,daex,1,2018-05-02T22:34:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0b4bdc478791897274652dc15ef5c135cae61e60'}"
2698,1844,Hydro,HYDRO,hydro,1,2018-05-03T17:44:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x946112efab61c3636cbd52de2e1392d7a75a6f01'}"
2700,380,Celsius,CEL,celsius,1,2018-05-03T17:44:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d'}"
