id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
1,1,Bitcoin,BTC,bitcoin,1,2010-07-13T00:00:00.000Z,2023-06-07T04:29:00.000Z,
2,12,Litecoin,LTC,litecoin,1,2013-04-28T18:47:22.000Z,2023-06-07T04:29:00.000Z,
3,570,Namecoin,NMC,namecoin,1,2013-04-28T18:47:22.000Z,2023-06-07T04:29:00.000Z,
4,2026,Terracoin,TRC,terracoin,1,2013-04-28T18:47:22.000Z,2023-06-07T04:29:00.000Z,
5,769,Peercoin,PPC,peercoin,1,2013-04-28T18:47:23.000Z,2023-06-07T04:29:00.000Z,
6,2202,Novacoin,NVC,novacoin,1,2013-04-28T18:47:23.000Z,2023-06-07T04:29:00.000Z,
8,1542,Feathercoin,FTC,feathercoin,1,2013-05-03T03:25:15.000Z,2023-06-07T04:29:00.000Z,
10,2249,Freicoin,FRC,freicoin,1,2013-05-03T03:25:15.000Z,2023-06-07T04:29:00.000Z,
13,1780,Ixcoin,IXC,ixcoin,1,2013-05-08T05:20:18.000Z,2023-06-07T04:29:00.000Z,
16,4824,WorldCoin,WDC,worldcoin,1,2013-05-22T03:20:20.000Z,2023-06-07T04:29:00.000Z,
18,2349,Digitalcoin,DGC,digitalcoin,1,2013-06-09T17:55:21.000Z,2023-06-07T04:29:00.000Z,
25,1671,Goldcoin,GLC,goldcoin,1,2013-06-14T06:45:28.000Z,2023-06-07T04:29:00.000Z,
35,1386,Phoenixcoin,PXC,phoenixcoin,1,2013-07-04T05:15:49.000Z,2023-06-07T04:29:00.000Z,
42,1298,Primecoin,XPM,primecoin,1,2013-07-11T03:21:19.000Z,2023-06-07T04:29:00.000Z,
43,2448,Anoncoin,ANC,anoncoin,1,2013-07-15T01:31:35.000Z,2023-06-07T04:29:00.000Z,
45,5215,CasinoCoin,CSC,casinocoin,1,2013-07-25T03:06:28.000Z,2023-06-07T04:29:00.000Z,
52,6,XRP,XRP,xrp,1,2013-08-04T18:51:05.000Z,2023-06-07T04:29:00.000Z,
53,1817,Quark,QRK,quark,1,2013-08-25T17:46:22.000Z,2023-06-07T04:29:00.000Z,
56,2298,Zetacoin,ZET,zetacoin,1,2013-09-11T01:47:21.000Z,2023-06-07T04:29:00.000Z,
61,2145,TagCoin,TAG,tagcoin,1,2013-11-05T13:32:08.000Z,2023-06-07T04:29:00.000Z,
64,2330,Public Index Network,PIN,public-index-network,1,2013-11-27T06:01:46.000Z,2023-06-07T04:29:00.000Z,
66,1165,Nxt,NXT,nxt,1,2013-12-04T05:46:40.000Z,2023-06-07T04:29:00.000Z,
67,8081,Unobtanium,UNO,unobtanium,1,2013-12-21T18:17:35.000Z,2023-06-07T04:29:00.000Z,
69,2493,Datacoin,DTC,datacoin,1,2013-12-07T19:47:06.000Z,2023-06-07T04:29:00.000Z,
72,1919,Deutsche eMark,DEM,deutsche-emark,1,2013-12-15T01:52:15.000Z,2023-06-07T04:29:00.000Z,
74,8,Dogecoin,DOGE,dogecoin,1,2013-12-15T14:42:34.000Z,2023-06-07T04:29:00.000Z,
77,716,Diamond,DMD,diamond,1,2013-12-19T12:31:59.000Z,2023-06-07T04:29:00.000Z,
78,8722,HoboNickels,HBN,hobonickels,1,2013-12-20T13:32:39.000Z,2023-06-07T04:29:00.000Z,
80,1540,Orbitcoin,ORB,orbitcoin,1,2013-12-21T18:12:54.000Z,2023-06-07T04:29:00.000Z,
83,1468,Omni,OMNI,omni,1,2013-12-24T23:37:41.000Z,2023-06-07T04:29:00.000Z,
87,1599,FedoraCoin,TIPS,fedoracoin,1,2013-12-31T16:17:26.000Z,2023-06-07T04:29:00.000Z,
90,799,Dimecoin,DIME,dimecoin,1,2014-01-06T07:42:29.000Z,2023-06-07T04:29:00.000Z,
93,1362,42-coin,42,42-coin,1,2014-01-14T04:32:01.000Z,2023-06-07T04:29:00.000Z,
99,906,Vertcoin,VTC,vertcoin,1,2014-01-20T05:27:57.000Z,2023-06-07T04:29:00.000Z,
109,182,DigiByte,DGB,digibyte,1,2014-02-06T13:13:38.000Z,2023-06-07T04:29:00.000Z,
118,1128,ReddCoin,RDD,redd,1,2014-02-10T00:58:17.000Z,2023-06-07T04:29:00.000Z,
120,1445,KatKoyn,KAT,nyancoin,1,2014-02-10T00:58:19.000Z,2023-06-07T04:29:00.000Z,
122,1704,PotCoin,POT,potcoin,1,2014-02-10T04:23:33.000Z,2023-06-07T04:29:00.000Z,
128,2069,Maxcoin,MAX,maxcoin,1,2014-02-12T13:33:59.000Z,2023-06-07T04:29:00.000Z,
131,87,Dash,DASH,dash,1,2014-02-14T13:44:09.000Z,2023-06-07T04:29:00.000Z,
132,750,Counterparty,XCP,counterparty,1,2014-02-15T13:59:36.000Z,2023-06-07T04:29:00.000Z,
141,8723,MintCoin,MINT,mintcoin,1,2014-02-19T13:39:53.000Z,2023-06-07T04:29:00.000Z,
145,1984,DopeCoin,DOPE,dopecoin,1,2014-02-22T17:52:34.000Z,2023-06-07T04:29:00.000Z,
148,7559,Auroracoin,AUR,auroracoin,1,2014-02-27T05:33:27.000Z,2023-06-07T04:29:00.000Z,
154,4287,Marscoin,MARS,marscoin,1,2014-02-24T13:41:14.000Z,2023-06-07T04:29:00.000Z,
162,2842,Magic Internet Money,MIM,magic-internet-money,1,2014-03-12T05:27:57.000Z,2023-06-07T04:30:00.000Z,
168,7716,Uniform Fiscal Object,UFO,uniform-fiscal-object,1,2014-02-27T05:33:35.000Z,2023-06-07T04:29:00.000Z,
170,1433,BlackCoin,BLK,blackcoin,1,2014-02-28T05:13:44.000Z,2023-06-07T04:29:00.000Z,
182,2041,Myriad,XMY,myriad,1,2014-03-08T15:56:28.000Z,2023-06-07T04:29:00.000Z,
184,2595,DNotes,NOTE,dnotes,1,2014-03-08T15:56:28.000Z,2023-06-07T04:29:00.000Z,
201,1283,Einsteinium,EMC2,einsteinium,1,2014-04-09T04:10:24.000Z,2023-06-07T04:29:00.000Z,
213,538,MonaCoin,MONA,monacoin,1,2014-03-20T05:09:55.000Z,2023-06-07T04:29:00.000Z,
